id,lat,lon
e0001,-33.94667,151.22406
e0002,-33.89784,150.75631
e0003,-33.62302,150.80586
e0004,-33.81588,150.68334
e0005,-34.03572,150.76274
e0006,-33.84553,150.72761
e0007,-33.82734,150.7873
e0008,-33.77734,150.9302
e0009,-33.73332,151.27155
e0010,-34.42186,150.8778
e0011,-33.85737,151.2769
e0012,-34.03061,151.06237
e0013,-34.04544,150.66897
e0014,-33.9823,151.09893
e0015,-34.06515,150.82019
e0016,-33.67249,150.86147
e0017,-33.02279,151.66991
e0018,-33.76058,150.70203
e0019,-33.93889,150.79375
e0020,-33.93405,150.91987
