 GST ID ,LAT,LON
e0001,-33.01468,151.57723
e0002,-33.0529,151.57909
e0003,-33.20955,151.64985
e0004,-33.06728,151.57186
e0005,-33.10866,151.53319
e0006,-33.10631,151.48293
e0007,-33.11667,151.47254
e0008,-33.09352,151.4617
e0009,-33.12902,151.47684
e0010,-33.26106,151.47352
e0011,-32.91001,151.6174
e0012,-33.27922,151.42248
e0013,-32.90469,151.61694
e0014,-32.92781,151.66906
e0015,-32.92,151.67804
e0016,-32.92428,151.69488
e0017,-32.97603,151.68942
e0018,-32.97278,151.70982
e0019,-32.96421,151.6972
e0020,-32.94318,151.64749
e0021,-33.93212,150.87614
e0022,-33.83762,151.04932
e0023,-32.93332,151.55693
e0024,-32.94538,151.6774
e0025,-32.95241,151.69269
e0026,-32.90896,151.67313
e0027,-33.78649,151.0975
e0028,-33.79108,150.97192
e0029,-34.02871,150.74614
e0030,-33.95127,150.99661
e0031,-32.9819,151.688
e0032,-33.71154,150.91475
e0033,33.79263,150.68207
e0034,-32.98395,151.69972
e0035,-33.01141,151.70791
e0036,-32.96048,151.65593
e0037,-32.97106,151.65452
e0038,-32.9638,151.64018
e0039,-32.98061,151.6472
e0040,-33.26396,151.54367
e0041,-33.00886,151.65195
e0042,-32.9585,151.68723
e0043,-32.97005,151.69668
e0044,-32.97107,151.68132
e0045,-32.96672,151.69055
e0046,-32.97521,151.69849
e0047,-33.66614,150.79338
e0048,-33.87897,151.01323
e0049,-33.7952,150.77776
e0050,-33.86483,150.93304
