ORDER_NUMBER,ORDER_TYPE,ORDER_DESCRIPTION,ISSUE_CODE,ISSUE_DESCRIPTION,MAINT_ACTIVITY_TYPE,MAINT_ACTIVITY_DESCRIPTION,ORDER_CREATE_DATE,ORDER_CREATE_TIME,JOB_PRIORITY,SUBURB,STREET,HOUSE_NUM1,HOUSE_NUM2,POSTCODE,FITTER_DISTRICT,WORK_TIME_ELAPSED
401555575,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190808,07:47:36,A,CAMERON PARK,PORTLAND DR,61,F 1,2285,502,75
401555575,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190808,07:47:36,A,CAMERON PARK,PORTLAND DR,61,F 1,2285,502,75
401572898,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190826,14:21:12,A,BAR BEACH,TOOKE ST,16,,2300,500,75
401572898,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190826,14:21:12,A,BAR BEACH,TOOKE ST,16,,2300,500,75
401563361,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190816,11:31:45,A,RANDWICK,SULLY ST,15,U 2,2031,310,65
401563361,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190816,11:31:45,A,RANDWICK,SULLY ST,15,U 2,2031,310,65
401563361,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190816,11:31:45,A,RANDWICK,SULLY ST,15,U 2,2031,310,65
401563361,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190816,11:31:45,A,RANDWICK,SULLY ST,15,U 2,2031,310,65
401565224,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190819,11:04:42,A,CADDENS,BUNDLE ST,13,,2747,230,100
401565224,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190819,11:04:42,A,CADDENS,BUNDLE ST,13,,2747,230,100
401555910,GTWA,Trouble/Fault Order without Account,X50,URGENT RESPONSE TO AERIAL SURVEILLANCE,EMG,Emergency,20190808,10:30:35,A,MAYFIELD,TOURLE STREET,,,2304,500,30
401555910,GTWA,Trouble/Fault Order without Account,X50,URGENT RESPONSE TO AERIAL SURVEILLANCE,EMG,Emergency,20190808,10:30:35,A,MAYFIELD,TOURLE STREET,,,2304,500,30
401561306,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190814,14:31:43,A,HOLSWORTHY,SABRE CRES,11,LOT110,2173,250,50
401561306,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190814,14:31:43,A,HOLSWORTHY,SABRE CRES,11,LOT110,2173,250,50
401561306,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190814,14:31:43,A,HOLSWORTHY,SABRE CRES,11,LOT110,2173,250,50
401561306,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190814,14:31:43,A,HOLSWORTHY,SABRE CRES,11,LOT110,2173,250,50
401571164,GTWA,Trouble/Fault Order without Account,X50,URGENT RESPONSE TO AERIAL SURVEILLANCE,EMG,Emergency,20190823,09:27:34,A,SEVEN HILLS,TUCKS ROAD,,,2147,220,20
401571164,GTWA,Trouble/Fault Order without Account,X50,URGENT RESPONSE TO AERIAL SURVEILLANCE,EMG,Emergency,20190823,09:27:34,A,SEVEN HILLS,TUCKS ROAD,,,2147,220,20
401559558,GTWA,Trouble/Fault Order without Account,X50,URGENT RESPONSE TO AERIAL SURVEILLANCE,EMG,Emergency,20190813,08:31:41,A,YELLOW ROCK,SINGLES RIDGE ROAD,,,2777,290,15
401559558,GTWA,Trouble/Fault Order without Account,X50,URGENT RESPONSE TO AERIAL SURVEILLANCE,EMG,Emergency,20190813,08:31:41,A,YELLOW ROCK,SINGLES RIDGE ROAD,,,2777,290,15
401555906,GTWA,Trouble/Fault Order without Account,X50,URGENT RESPONSE TO AERIAL SURVEILLANCE,EMG,Emergency,20190808,10:23:58,A,MAYFIELD,NORTHERN INDUSTRIAL DRIVE,,,2304,500,15
401555906,GTWA,Trouble/Fault Order without Account,X50,URGENT RESPONSE TO AERIAL SURVEILLANCE,EMG,Emergency,20190808,10:23:58,A,MAYFIELD,NORTHERN INDUSTRIAL DRIVE,,,2304,500,15
401569133,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190821,10:19:48,A,EDMONDSON PARK,TALANA HILL DR,43,LOT2027,2174,250,85
401569133,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190821,10:19:48,A,EDMONDSON PARK,TALANA HILL DR,43,LOT2027,2174,250,85
401569133,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190821,10:19:48,A,EDMONDSON PARK,TALANA HILL DR,43,LOT2027,2174,250,85
401569133,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190821,10:19:48,A,EDMONDSON PARK,TALANA HILL DR,43,LOT2027,2174,250,85
401553923,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190806,13:52:59,A,MOUNT HUTTON,HELEN ST,44,,2290,501,100
401553923,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190806,13:52:59,A,MOUNT HUTTON,HELEN ST,44,,2290,501,100
401556938,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190809,11:42:39,A,CONNELLS POINT,MYERLA CRES AND TERRY ST,,,2221,340,120
401556938,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190809,11:42:39,A,CONNELLS POINT,MYERLA CRES AND TERRY ST,,,2221,340,120
401571518,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190823,13:36:13,A,CARLINGFORD,FELTON RD,14,,2118,450,10
401571518,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190823,13:36:13,A,CARLINGFORD,FELTON RD,14,,2118,450,10
401571518,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190823,13:36:13,A,CARLINGFORD,FELTON RD,14,,2118,450,10
401571518,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190823,13:36:13,A,CARLINGFORD,FELTON RD,14,,2118,450,10
401556938,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190809,11:42:39,A,CONNELLS POINT,MYERLA CRES AND TERRY ST,,,2221,340,15
401556938,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190809,11:42:39,A,CONNELLS POINT,MYERLA CRES AND TERRY ST,,,2221,340,15
401559028,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190812,15:19:04,A,LOFTUS,SPUR CRES,114,,2232,350,132
401559028,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190812,15:19:04,A,LOFTUS,SPUR CRES,114,,2232,350,132
401573970,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190827,15:18:29,A,EASTGARDENS,BUNNERONG RD,130,,2036,340,215
401573970,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190827,15:18:29,A,EASTGARDENS,BUNNERONG RD,130,,2036,340,215
401556319,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190808,14:48:27,A,COOTAMUNDRA,BARNES ST,7,,2590,365,90
401556319,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190808,14:48:27,A,COOTAMUNDRA,BARNES ST,7,,2590,365,90
401572399,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190824,17:42:19,A,FLINDERS,SEYMOUR DR,5,,2529,301,85
401572399,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190824,17:42:19,A,FLINDERS,SEYMOUR DR,5,,2529,301,85
401564621,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190817,09:04:57,A,CARINGBAH SOUTH,SAUNDERS BAY RD,52A,LOT1112,2229,350,75
401564621,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190817,09:04:57,A,CARINGBAH SOUTH,SAUNDERS BAY RD,52A,LOT1112,2229,350,75
401564866,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190818,14:44:16,A,CARLTON,MILL ST,13,U 1,2218,340,25
401564866,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190818,14:44:16,A,CARLTON,MILL ST,13,U 1,2218,340,25
401557597,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190810,12:25:28,A,MITTAGONG,WILLS PL,5,TNHS 5,2575,303,135
401557597,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190810,12:25:28,A,MITTAGONG,WILLS PL,5,TNHS 5,2575,303,135
401557933,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190811,12:39:01,A,WAHROONGA,BURNS RD,2,TNHS 4,2076,435,107
401557933,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190811,12:39:01,A,WAHROONGA,BURNS RD,2,TNHS 4,2076,435,107
401557933,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190811,12:39:01,A,WAHROONGA,BURNS RD,2,TNHS 4,2076,435,107
401557933,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190811,12:39:01,A,WAHROONGA,BURNS RD,2,TNHS 4,2076,435,107
401565729,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190819,16:06:57,A,BULLI,FRANKLIN AVE,21,VLLA 1,2516,300,31
401565729,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190819,16:06:57,A,BULLI,FRANKLIN AVE,21,VLLA 1,2516,300,31
401564866,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190818,14:44:16,A,CARLTON,MILL ST,13,U 1,2218,340,15
401564866,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190818,14:44:16,A,CARLTON,MILL ST,13,U 1,2218,340,15
401563122,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190816,08:53:42,A,WOOLOOWARE,WILLS RD,1,DUP 2,2230,350,80
401563122,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190816,08:53:42,A,WOOLOOWARE,WILLS RD,1,DUP 2,2230,350,80
401563122,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190816,08:53:42,A,WOOLOOWARE,WILLS RD,1,DUP 2,2230,350,80
