ORDER_NUMBER,ORDER_TYPE,ORDER_DESCRIPTION,ISSUE_CODE,ISSUE_DESCRIPTION,MAINT_ACTIVITY_TYPE,MAINT_ACTIVITY_DESCRIPTION,ORDER_CREATE_DATE,ORDER_CREATE_TIME,JOB_PRIORITY,SUBURB,STREET,HOUSE_NUM1,HOUSE_NUM2,POSTCODE,FITTER_DISTRICT,WORK_TIME_ELAPSED
401560299,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210814,02:11:51,A,CROWS NEST,FALCON ST,28,,2065,410,153
401552750,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210814,02:52:53,A,WOY WOY,VICTORIA RD,,,2256,120,160
401555575,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210814,07:47:36,A,CAMERON PARK,PORTLAND DR,61,F 1,2285,502,82
401563082,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210814,07:59:50,A,CONISTON,CORNER OF HEASLIP ST AND,,,2500,300,645
401569014,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210814,08:11:28,A,SILVERWATER,BEACONSFIELD ST,7,,2128,210,80
401546858,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210814,08:14:31,A,KINGSGROVE,ST ALBANS,18,,2208,330,315
401554542,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210814,08:41:18,A,SHEPHERD BAY,BOWDEN ST,0,,2114,NA,250
401566068,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210814,08:50:54,A,ORANGE,BURRENDONG WAY,346,LOT6,2800,810,150
401563122,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210814,08:53:42,A,WOOLOOWARE,WILLS RD,1,DUP 2,2230,350,80
401564621,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210814,09:04:57,A,CARINGBAH SOUTH,SAUNDERS BAY RD,52A,LOT1112,2229,350,75
401547677,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210814,09:08:56,A,ROSE BAY,OLD SOUTH HEAD RD,668,,2029,310,94
401565019,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210814,09:22:44,A,GLENWOOD,KOSMINA ST,6,LOT149,2768,220,145
401571164,GTWA,Trouble/Fault Order without Account,X50,URGENT RESPONSE TO AERIAL SURVEILLANCE,EMG,Emergency,20210814,09:27:34,A,SEVEN HILLS,TUCKS ROAD,,,2147,220,20
401570143,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210814,09:39:10,A,PYRMONT,DARLING ISLAND RD,8,,2009,310,95
401569118,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210814,10:03:02,A,GRIFFITH,LANZA GROVE,31,,2680,339,75
401569133,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210814,10:19:48,A,EDMONDSON PARK,TALANA HILL DR,43,LOT2027,2174,250,85
401555910,GTWA,Trouble/Fault Order without Account,X50,URGENT RESPONSE TO AERIAL SURVEILLANCE,EMG,Emergency,20210814,10:30:35,A,MAYFIELD,TOURLE STREET,,,2304,500,30
401562185,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210814,10:37:26,A,WOLLONGONG,STAFF ST,28,,2500,300,240
401565158,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210814,10:57:09,A,DAPTO,BELMONT RD,26,,2530,301,60
401565224,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210814,11:04:42,A,CADDENS,BUNDLE ST,13,,2747,230,100
401557041,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210814,11:27:37,A,VAUCLUSE,ISABEL AVE,5,U 1,2030,310,150
401556938,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210814,11:42:39,A,CONNELLS POINT,MYERLA CRES AND TERRY ST,,,2221,340,120
401556938,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210814,11:42:39,A,CONNELLS POINT,MYERLA CRES AND TERRY ST,,,2221,340,15
