ORDER_NUMBER,ORDER_TYPE,ORDER_DESCRIPTION,ISSUE_CODE,ISSUE_DESCRIPTION,MAINT_ACTIVITY_TYPE,MAINT_ACTIVITY_DESCRIPTION,ORDER_CREATE_DATE,ORDER_CREATE_TIME,JOB_PRIORITY,SUBURB,STREET,HOUSE_NUM1,HOUSE_NUM2,POSTCODE,FITTER_DISTRICT,WORK_TIME_ELAPSED
401555575,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190808,07:47:36,A,CAMERON PARK,PORTLAND DR,61,F 1,2285,502,75
401555575,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190808,07:47:36,A,CAMERON PARK,PORTLAND DR,61,F 1,2285,502,75
401572898,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190826,14:21:12,A,BAR BEACH,TOOKE ST,16,Q 3,2300,500,75
401572898,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190826,14:21:12,A,BAR BEACH,TOOKE ST,16,A A,2300,500,75
401563361,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190816,11:31:45,A,RANDWICK,SULLY ST,15,U 2,2031,310,65
401563361,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190816,11:31:45,A,RANDWICK,SULLY ST,15,U 2,2031,310,65
401563361,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190816,11:31:45,A,RANDWICK,SULLY ST,15,U 2,2031,310,65
401563361,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190816,11:31:45,A,RANDWICK,SULLY ST,15,U 2,2031,310,65
401565224,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190819,11:04:42,A,CADDENS,BUNDLE ST,13,2 A,2747,230,100
401565224,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190819,11:04:42,A,CADDENS,BUNDLE ST,13,2 A,2747,230,100
401555910,GTWA,Trouble/Fault Order without Account,X50,URGENT RESPONSE TO AERIAL SURVEILLANCE,EMG,Emergency,20190808,10:30:35,A,MAYFIELD,TOURLE STREET,11,D 2,2304,500,30
401555910,GTWA,Trouble/Fault Order without Account,X50,URGENT RESPONSE TO AERIAL SURVEILLANCE,EMG,Emergency,20190808,10:30:35,A,MAYFIELD,TOURLE STREET,13,Y 4,2304,500,30
401561306,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190814,14:31:43,A,HOLSWORTHY,SABRE CRES,11,LOT110,2173,250,50
401561306,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190814,14:31:43,A,HOLSWORTHY,SABRE CRES,11,LOT110,2173,250,50
401561306,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190814,14:31:43,A,HOLSWORTHY,SABRE CRES,11,LOT110,2173,250,50
401561306,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190814,14:31:43,A,HOLSWORTHY,SABRE CRES,11,LOT110,2173,250,50
401571164,GTWA,Trouble/Fault Order without Account,X50,URGENT RESPONSE TO AERIAL SURVEILLANCE,EMG,Emergency,20190823,09:27:34,A,SEVEN HILLS,TUCKS ROAD,33,W W,2147,220,20
401571164,GTWA,Trouble/Fault Order without Account,X50,URGENT RESPONSE TO AERIAL SURVEILLANCE,EMG,Emergency,20190823,09:27:34,A,SEVEN HILLS,TUCKS ROAD,56,W 1,2147,220,20
401559558,GTWA,Trouble/Fault Order without Account,X50,URGENT RESPONSE TO AERIAL SURVEILLANCE,EMG,Emergency,20190813,08:31:41,A,YELLOW ROCK,SINGLES RIDGE ROAD,77,Y 4,2777,290,15
401559558,GTWA,Trouble/Fault Order without Account,X50,URGENT RESPONSE TO AERIAL SURVEILLANCE,EMG,Emergency,20190813,08:31:41,A,YELLOW ROCK,SINGLES RIDGE ROAD,88,T 1,2777,290,15
401555906,GTWA,Trouble/Fault Order without Account,X50,URGENT RESPONSE TO AERIAL SURVEILLANCE,EMG,Emergency,20190808,10:23:58,A,MAYFIELD,NORTHERN INDUSTRIAL DRIVE,17,2 A,2304,500,15
401555906,GTWA,Trouble/Fault Order without Account,X50,URGENT RESPONSE TO AERIAL SURVEILLANCE,EMG,Emergency,20190808,10:23:58,A,MAYFIELD,NORTHERN INDUSTRIAL DRIVE,66,Y 2,2304,500,15
401569133,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190821,10:19:48,A,EDMONDSON PARK,TALANA HILL DR,43,LOT2027,2174,250,85
401569133,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190821,10:19:48,A,EDMONDSON PARK,TALANA HILL DR,43,LOT2027,2174,250,85
401569133,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190821,10:19:48,A,EDMONDSON PARK,TALANA HILL DR,43,LOT2027,2174,250,85
401569133,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190821,10:19:48,A,EDMONDSON PARK,TALANA HILL DR,43,LOT2027,2174,250,85
401553923,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190806,13:52:59,A,MOUNT HUTTON,HELEN ST,44,R 5,2290,501,100
401553923,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190806,13:52:59,A,MOUNT HUTTON,HELEN ST,44,R 5,2290,501,100
401556938,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190809,11:42:39,A,CONNELLS POINT,MYERLA CRES AND TERRY ST,66,T G,2221,340,120
401556938,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190809,11:42:39,A,CONNELLS POINT,MYERLA CRES AND TERRY ST,77,T 5,2221,340,120
401571518,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190823,13:36:13,A,CARLINGFORD,FELTON RD,14,2 A,2118,450,10
401571518,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190823,13:36:13,A,CARLINGFORD,FELTON RD,14,5 A,2118,450,10
401571518,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190823,13:36:13,A,CARLINGFORD,FELTON RD,14,3 A,2118,450,10
401571518,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190823,13:36:13,A,CARLINGFORD,FELTON RD,14,7 H,2118,450,10
401556938,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190809,11:42:39,A,CONNELLS POINT,MYERLA CRES AND TERRY ST,09,AA,2221,340,15
401556938,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190809,11:42:39,A,CONNELLS POINT,MYERLA CRES AND TERRY ST,80,3 G,2221,340,15
401559028,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190812,15:19:04,A,LOFTUS,SPUR CRES,114,G G,2232,350,132
401559028,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190812,15:19:04,A,LOFTUS,SPUR CRES,114,H 1,2232,350,132
401573970,GTWA,Trouble/Fault Order without Account,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20190827,15:18:29,A,EASTGARDENS,BUNNERONG RD,130,T 3,2036,340,215
